"","x","y"
"471",5098,42356
"472",6891,42355
"473",5907,42348
"474",5170,42346
"475",6277,42345
"476",8246,42342
"477",9308,42329
"478",8389,42317
"479",7332,42309
"480",7878,42308
"481",7546,42302
"482",8025,42289
"483",5211,42283
"484",8781,42276
"485",7160,42272
"486",5108,42267
"487",5690,42266
"488",9953,42266
"489",9618,42265
"490",7057,42264
"491",8707,42262
"492",9793,42253
"493",5806,42249
"494",6383,42249
"495",7244,42244
"496",7975,42242
"497",7667,42225
"498",8333,42217
"499",9418,42210
"500",8526,42209
"501",5634,42203
"502",8715,42196
"503",9982,42193
"504",5977,42191
"505",5134,42173
"506",7380,42162
"507",8615,42161
"508",5908,42160
"509",7948,42154
"510",6607,42150
"511",9786,42142
"512",5409,42141
"513",6052,42141
"514",8801,42126
"515",8716,42124
"516",9507,42123
"517",6429,42121
"518",9629,42116
"519",6972,42100
"520",8184,42099
"521",5458,42085
"522",7734,42084
"523",7466,42078
"524",6634,42074
"525",5154,42071
"526",6550,42071
"527",7582,42068
"528",7942,42068
"529",9270,42068
"530",9420,42060
"531",5040,42058
"532",6068,42046
"533",9191,42045
"534",9339,42038
"535",9653,42034
"536",8290,42027
"537",5358,42025
"538",5977,42021
"539",9873,42019
"540",6448,42018
"541",7729,42016
"542",7254,42014
"543",8870,42011
"544",8684,42002
"545",6347,41996
"546",8987,41992
"547",7537,41991
"548",9472,41990
"549",6121,41986
"550",7070,41983
"551",8012,41979
"552",5176,41974
"553",6510,41954
"554",8150,41944
"555",9108,41944
"556",9944,41938
"557",9409,41937
"558",9198,41936
"559",7309,41932
"560",7622,41923
"561",8989,41919
"562",6183,41918
"563",8732,41917
"564",8921,41916
"565",9635,41906
"566",7991,41904
"567",7091,41900
"568",6626,41888
"569",6548,41865
"570",5066,41863
"571",6129,41855
"572",6456,41850
"573",9984,41847
"574",7678,41845
"575",7876,41839
"576",5000,41838
"577",5936,41834
"578",7121,41832
"579",8120,41826
"580",5538,41821
"581",9566,41819
"582",8462,41816
"583",8717,41810
"584",8959,41810
"585",6925,41807
"586",7734,41807
"587",9030,41807
"588",8645,41801
"589",8534,41799
"590",5988,41787
"591",5887,41786
"592",7064,41784
"593",6773,41776
"594",8332,41774
"595",7296,41773
"596",7804,41765
"597",6295,41764
"598",6379,41762
"599",9757,41762
"600",7590,41756
"601",9204,41756
"602",7678,41751
"603",9117,41751
"604",9867,41748
"605",6714,41739
"606",7987,41737
"607",9629,41736
"608",8493,41735
"609",6553,41729
"610",9298,41726
"611",8117,41722
"612",9997,41719
"613",5371,41712
"614",7330,41710
"615",6777,41706
"616",9472,41705
"617",6090,41700
"618",9562,41697
"619",8571,41683
"620",6365,41681
"621",8173,41628
"622",7471,41618
"623",9969,41618
"624",7928,41617
"625",8645,41603
"626",9182,41600
"627",7243,41599
"628",9714,41599
"629",6820,41598
"630",7030,41597
"631",6519,41592
"632",9316,41590
"633",7370,41589
"634",8833,41585
"635",5379,41580
"636",6199,41574
"637",7518,41571
"638",7829,41561
"639",5968,41558
"640",5729,41555
"641",6287,41547
"642",8885,41545
"643",5461,41541
"644",7760,41518
"645",8560,41518
"646",5186,41512
"647",9342,41508
"648",9272,41506
"649",7052,41502
"650",8028,41502
"651",7564,41501
"652",6344,41498
"653",9817,41498
"654",6483,41497
"655",7455,41496
"656",5009,41493
"657",7632,41484
"658",5668,41468
"659",5463,41467
"660",6537,41454
"661",6174,41447
"662",6249,41447
"663",9164,41438
"664",7297,41430
"665",7700,41428
"666",7895,41427
"667",8451,41426
"668",10000,41426
"669",9438,41419
"670",9297,41416
"671",9651,41416
"672",9883,41413
"673",7452,41403
"674",5337,41396
"675",7111,41389
"676",8362,41388
"677",6448,41383
"678",9008,41378
"679",7250,41376
"680",8600,41372
"681",5493,41370
"682",9755,41363
"683",8156,41361
"684",5965,41341
"685",7638,41339
"686",6106,41335
"687",6758,41333
"688",6238,41330
"689",6673,41329
"690",5620,41324
"691",8218,41323
"692",9457,41322
"693",8515,41318
"694",5829,41313
"695",7038,41309
"696",9722,41305
"697",9802,41305
"698",6842,41303
"699",7589,41294
"700",9915,41291
"701",6301,41288
"702",6935,41285
"703",8642,41285
"704",5102,41279
"705",7894,41277
"706",6377,41273
"707",8940,41273
"708",7219,41270
"709",8052,41270
"710",8317,41268
"711",9656,41263
"712",5567,41260
"713",5895,41250
"714",8805,41242
"715",7395,41237
"716",9976,41227
"717",6070,41223
"718",7108,41220
"719",7566,41219
"720",7028,41216
"721",7858,41216
"722",9840,41214
"723",7996,41205
"724",5490,41204
"725",9069,41200
"726",9300,41196
"727",7465,41187
"728",8321,41182
"729",5561,41179
"730",6852,41167
"731",7166,41164
"732",9635,41164
"733",7328,41163
"734",6195,41152
"735",5414,41151
"736",6347,41149
"737",6492,41138
"738",5746,41131
"739",9469,41129
"740",6591,41120
"741",7602,41115
"742",8229,41098
"743",9361,41095
"744",8586,41094
"745",7209,41087
"746",7337,41073
"747",9736,41072
"748",6013,41066
"749",9071,41051
"750",8949,41049
"751",9238,41048
"752",9493,41048
"753",6180,41039
"754",6745,41034
"755",8607,41025
"756",9859,41020
"757",6557,41019
"758",8356,41018
"759",7989,41008
"760",9625,41007
"761",6395,40998
"762",5315,40995
"763",7904,40994
"764",8074,40987
"765",5011,40986
"766",6230,40986
"767",8298,40981
"768",6299,40957
"769",8572,40953
"770",5635,40949
"771",9675,40946
"772",5358,40938
"773",8007,40937
"774",7521,40933
"775",9084,40932
"776",8442,40920
"777",6009,40917
"778",7407,40915
"779",9541,40909
"780",8672,40905
"781",7270,40898
"782",9436,40891
"783",5460,40889
"784",6972,40888
"785",5527,40883
"786",5620,40883
"787",7042,40882
"788",7877,40882
"789",6777,40878
"790",8099,40873
"791",9696,40870
"792",8187,40869
"793",8343,40860
"794",7816,40859
"795",9996,40853
"796",9772,40842
"797",5109,40841
"798",7443,40836
"799",8904,40836
"800",9609,40834
"801",6221,40830
"802",5566,40829
"803",8828,40827
"804",9219,40827
"805",7954,40823
"806",5477,40822
"807",8754,40819
"808",7874,40816
"809",9498,40809
"810",9059,40803
"811",6154,40799
"812",8554,40798
"813",6086,40797
"814",9829,40796
"815",7740,40795
"816",7195,40783
"817",9296,40780
"818",7463,40771
"819",8020,40769
"820",9437,40766
"821",7129,40764
"822",6529,40761
"823",9907,40751
"824",6454,40750
"825",7899,40748
"826",6211,40744
"827",5548,40728
"828",8304,40727
"829",8421,40722
"830",6692,40719
"831",8897,40718
"832",7539,40717
"833",6296,40705
"834",5181,40697
"835",6791,40696
"836",6895,40677
"837",7053,40675
"838",7359,40673
"839",5284,40671
"840",7671,40665
"841",7854,40665
"842",5551,40661
"843",6448,40658
"844",8249,40658
"845",9862,40653
"846",9081,40649
"847",7932,40648
"848",9385,40643
"849",9754,40643
"850",7739,40632
"851",5694,40630
"852",6237,40599
"853",9982,40597
"854",7240,40585
"855",8212,40584
"856",9890,40579
"857",6345,40569
"858",9618,40565
"859",9193,40564
"860",9816,40561
"861",8796,40557
"862",6636,40553
"863",7000,40536
"864",8463,40534
"865",9962,40533
"866",5000,40529
"867",9481,40523
"868",5192,40517
"869",6527,40516
"870",6133,40511
"871",9297,40510
"872",8726,40506
"873",8635,40498
"874",9188,40497
"875",7117,40494
"876",8942,40490
"877",9011,40490
"878",6627,40476
"879",7441,40463
"880",6979,40450
"881",7188,40445
"882",7901,40431
"883",9723,40431
"884",8419,40428
"885",6889,40426
"886",9923,40425
"887",8524,40423
"888",6621,40404
"889",6714,40404
"890",9984,40388
"891",8859,40384
"892",7412,40383
"893",8199,40381
"894",9383,40378
"895",9287,40373
"896",7864,40367
"897",7981,40367
"898",9582,40366
"899",8090,40356
"900",5799,40348
"901",9495,40339
"902",5716,40332
"903",6839,40330
"904",6525,40320
"905",8665,40320
"906",5955,40311
"907",6301,40311
"908",7068,40304
"909",5370,40302
"910",8874,40302
"911",9393,40301
"912",9199,40299
"913",7303,40292
"914",7160,40282
"915",8942,40282
"916",9836,40281
"917",8114,40268
"918",6162,40259
"919",7742,40258
"920",7246,40242
"921",8556,40238
"922",9969,40233
"923",8030,40231
"924",5000,40229
"925",7074,40228
"926",8440,40223
"927",8714,40216
"928",9107,40209
"929",8920,40208
"930",9660,40205
"931",7329,40198
"932",6119,40195
"933",6271,40190
"934",7486,40186
"935",5688,40184
"936",7601,40179
"937",7230,40178
"938",9819,40174
"939",8859,40159
"940",8990,40158
"941",7164,40144
"942",6936,40139
"943",7765,40139
"944",7385,40137
"945",9563,40129
"946",9120,40126
"947",6527,40124
"948",9934,40123
"949",9210,40120
"950",5804,40118
"951",6460,40117
"952",6373,40112
"953",7879,40105
"954",8410,40104
"955",7064,40089
"956",6766,40088
"957",9292,40088
"958",7302,40075
"959",5429,40073
"960",7424,40052
"961",7735,40046
"962",7957,40035
"963",9158,40032
"964",8205,40026
"965",8094,40025
"966",7675,40020
"967",6987,40016
"968",6113,40011
"969",7066,40009
"970",7161,40005
"971",7276,40005
"972",9730,40004
"973",7837,40003
"974",7525,40002
"975",8728,40002
"976",6363,40001
"977",8425,40001
"978",9423,40001
"979",5640,40000
"980",6515,40000
