"","Gene","x","y"
"704",2,6427,40525
"705",2,6946,40826
"706",2,7373,42477
"707",2,6607,40587
"708",2,6727,42071
"709",2,9975,40427
"710",2,7366,43980
"711",2,8803,41959
"712",2,8137,44498
"713",2,7412,40567
"714",2,8796,41948
"715",2,6335,42419
"716",2,6782,44620
"717",2,6445,41476
"718",2,8355,41691
"719",2,5381,44397
"720",2,8253,42775
"721",2,6580,44264
"722",2,6506,44535
"723",2,6890,43999
"724",2,6617,42070
"725",2,5501,42099
"726",2,8470,41182
"727",2,6104,42955
"728",2,8103,40459
"729",2,8448,43520
"730",2,8481,42000
"731",2,8354,41076
"732",2,8582,41488
"733",2,6663,44835
"734",2,8111,40465
"735",2,7256,41450
"736",2,5975,42394
"737",2,6958,44570
"738",2,6466,40541
"739",2,8455,43743
"740",2,8231,44012
"741",2,6142,43485
"742",2,6194,42561
"743",2,7361,43212
"744",2,7897,40129
"745",2,7182,42848
"746",2,6977,43902
"747",2,6467,40281
"748",2,9537,42855
"749",2,9263,42046
"750",2,7016,42906
"751",2,6648,44751
"752",2,5202,44473
"753",2,5108,43576
"754",2,8075,43843
"755",2,5301,41875
"756",2,5847,44802
"757",2,8085,44588
"758",2,8444,40912
"759",2,8412,42814
"760",2,6597,44875
"761",2,7247,43698
"762",2,6943,44993
"763",2,5054,43482
"764",2,7833,40399
"765",2,8142,41232
"766",2,7872,44191
"767",2,6806,43999
"768",2,8592,40131
"769",2,8206,44676
"770",2,8211,41260
"771",2,6577,42347
"772",2,5859,44944
"773",2,6506,42182
"774",2,8320,44644
"775",2,8378,42058
"776",2,6965,42073
"777",2,7042,41238
"778",2,9023,41780
"779",2,7382,40628
"780",2,8297,44668
"781",2,5546,40659
"782",2,7325,42808
"783",2,7196,44045
"784",2,9065,41375
"785",2,6737,43899
"786",2,7648,41941
"787",2,5099,41420
"788",2,6258,44857
"789",2,8591,41048
"790",2,9094,41714
"791",2,7261,41175
"792",2,8237,43308
"793",2,8016,40438
"794",2,8240,41641
"795",2,7303,44848
"796",2,6229,41158
"797",2,6725,44294
"798",2,6506,44858
"799",2,6791,40518
"800",2,6553,44250
"801",2,7177,44953
"802",2,8338,42768
"803",2,5291,40846
"804",2,7241,40531
"805",2,8437,42418
"806",2,6337,42447
"807",2,5056,41759
"808",2,9533,41963
"809",2,8781,41928
"810",2,8314,41860
"811",2,6654,43755
"812",2,8283,44285
"813",2,6153,44712
"814",2,7301,43434
"815",2,6638,44292
"816",2,9400,42246
"817",2,5496,41817
"818",2,5267,43180
"819",2,5172,40773
"820",2,7867,40018
"821",2,8164,40264
"822",2,9214,40594
"823",2,8275,43815
"824",2,8430,41354
"825",2,8088,42979
"826",2,7116,42754
"827",2,5027,44486
"828",2,5056,41414
"829",2,5146,43713
"830",2,7356,43196
"831",2,5103,44371
"832",2,7993,44412
"833",2,8187,43283
"834",2,5135,41656
"835",2,8280,43390
"836",2,8342,40987
"837",2,8268,43418
"838",2,6435,41748
"839",2,6553,42517
"840",2,5904,42357
"841",2,5424,42061
"842",2,5233,43212
"843",2,6805,43953
"844",2,9401,41908
"845",2,5068,43557
"846",2,6039,40566
"847",2,6281,44671
"848",2,7248,41957
"849",2,6495,40343
"850",2,6540,40708
"851",2,5438,42135
"852",2,7170,44890
"853",2,8040,40396
"854",2,9236,41771
"855",2,8537,43661
"856",2,7415,44080
"857",2,6715,44050
"858",2,7509,43319
"859",2,6345,40108
"860",2,6360,44628
"861",2,5612,43528
"862",2,5323,43715
"863",2,8140,42932
"864",2,6111,41161
"865",2,8006,44663
"866",2,6705,40306
"867",2,7023,41025
"868",2,8061,40454
"869",2,7035,41242
"870",2,9340,40367
"871",2,5742,41050
"872",2,6290,40234
"873",2,6521,42209
"874",2,8987,41851
"875",2,8370,40747
"876",2,7178,44223
"877",2,5045,40776
"878",2,8998,41194
"879",2,7073,44316
"880",2,6183,42945
"881",2,6667,40694
"882",2,6716,40346
"883",2,7383,43812
"884",2,7099,41696
"885",2,7158,42872
"886",2,5457,41835
"887",2,5269,43163
"888",2,6566,43068
"889",2,5911,41391
"890",2,5154,40865
"891",2,5466,40517
"892",2,5027,43536
"893",2,8311,44923
"894",2,5632,41982
"895",2,7043,41753
"896",2,8090,44436
"897",2,6923,44047
"898",2,8969,41765
"899",2,5222,42185
"900",2,7363,44662
"901",2,5486,41766
"902",2,8576,43755
"903",2,9117,40418
"904",2,7775,44718
"905",2,6538,40385
"906",2,7322,40312
"907",2,6976,41375
"908",2,8520,43557
"909",2,7418,40553
"910",2,8178,44259
"911",2,8338,43534
"912",2,8216,42584
"913",2,7264,43877
"914",2,5128,41147
"915",2,6640,40754
"916",2,7146,42857
"917",2,8272,44828
"918",2,8151,40526
"919",2,7026,42918
"920",2,8568,43519
"921",2,9207,41673
"922",2,5528,43580
"923",2,8231,43998
"924",2,6616,44943
"925",2,9619,44226
"926",2,8313,44723
"927",2,6546,40583
"928",2,8326,44419
"929",2,6257,44744
"930",2,5259,44961
"931",2,9167,40836
"932",2,7271,44577
"933",2,9877,43227
"934",2,8526,43996
"935",2,8351,41880
"936",2,9516,41968
"937",2,6506,41165
"938",2,9047,41231
"939",2,6824,43993
"940",2,5192,41124
"941",2,7023,42876
"942",2,6186,44797
"943",2,6607,40634
"944",2,6988,44029
"945",2,6508,41207
"946",2,6341,43375
"947",2,7290,40449
"948",2,8111,40395
"949",2,6549,40520
"950",2,7363,43931
"951",2,8852,41918
"952",2,7941,42735
"953",2,6178,41804
"954",2,6851,44017
"955",2,7983,40304
"956",2,6662,40703
"957",2,5814,41653
"958",2,6679,44227
"959",2,8199,40443
"960",2,8103,44036
"961",2,6620,40697
"962",2,7213,40587
"963",2,6852,43909
"964",2,5538,42859
"965",2,8054,41225
"966",2,5929,41627
"967",2,9193,40627
"968",2,8016,44173
"969",2,8354,44312
"970",2,5349,44578
"971",2,6696,44278
"972",2,7319,41896
"973",2,9951,42954
"974",2,6628,40522
"975",2,5526,41765
"976",2,9666,41267
"977",2,6894,41159
"978",2,6513,40706
"979",2,6460,42767
"980",2,6577,41573
"981",2,9981,40913
"982",2,7270,41836
"983",2,6271,44660
"984",2,8194,40285
"985",2,6385,41716
"986",2,6425,40626
"987",2,8742,43794
"988",2,9939,41258
"989",2,9665,44087
"990",2,6562,44282
"991",2,9744,44325
"992",2,9812,41285
"993",2,7466,43329
"994",2,8155,43998
"995",2,7884,44608
"996",2,7854,40071
"997",2,5983,41184
"998",2,6959,43838
"999",2,6245,44756
"1000",2,8448,41006
"1001",2,8046,43841
"1002",2,7351,42783
"1003",2,8452,42472
"1004",2,5560,41948
"1005",2,6584,40660
"1006",2,5489,44091
"1007",2,9982,42936
"1008",2,5508,41821
"1009",2,9599,41220
"1010",2,8479,43220
"1011",2,5474,43718
"1012",2,9614,42608
"1013",2,6344,44632
"1014",2,6945,44039
"1015",2,5644,42847
"1016",2,8162,44496
"1017",2,8426,42588
"1018",2,5613,41929
"1019",2,6674,41832
"1020",2,8356,43804
"1021",2,6934,41899
"1022",2,9332,40376
"1023",2,8063,44981
"1024",2,8491,42455
"1025",2,6902,43847
"1026",2,8222,44769
"1027",2,5212,40804
"1028",2,6544,43101
"1029",2,9471,41958
"1030",2,8222,43211
"1031",2,6014,41723
"1032",2,6665,42050
"1033",2,7311,42210
"1034",2,5874,42279
"1035",2,8893,41222
"1036",2,5558,41788
"1037",2,8090,43143
"1038",2,7791,42308
"1039",2,9317,42296
"1040",2,8665,41533
"1041",2,7423,40589
"1042",2,7001,44638
"1043",2,9839,43216
"1044",2,8516,41948
"1045",2,8139,40852
"1046",2,7422,43884
"1047",2,5752,41748
"1048",2,6108,43024
"1049",2,7007,44661
"1050",2,5831,40200
"1051",2,7670,43088
"1052",2,8351,41941
"1053",2,5276,43149
"1054",2,7752,42795
"1055",2,6979,40814
"1056",2,8268,44252
"1057",2,6514,42157
"1058",2,8312,44626
"1059",2,7294,42944
"1060",2,8454,41517
"1061",2,6634,42767
"1062",2,5636,41768
"1063",2,9419,41949
"1064",2,6778,44641
"1065",2,7018,42003
"1066",2,8173,40254
"1067",2,7265,41737
"1068",2,7957,44497
"1069",2,5075,44277
"1070",2,9052,40855
"1071",2,7087,42801
"1072",2,5266,44834
"1073",2,8409,41070
"1074",2,6452,41921
"1075",2,6758,42140
"1076",2,6973,41330
"1077",2,8214,44711
"1078",2,8435,41086
"1079",2,6376,42374
"1080",2,8441,43527
"1081",2,7466,43589
"1082",2,8046,42252
"1083",2,6986,41718
"1084",2,9047,41953
"1085",2,8483,43177
"1086",2,7152,41413
"1087",2,5512,41868
"1088",2,6652,44311
"1089",2,6195,42903
"1090",2,8223,44875
"1091",2,8926,41896
"1092",2,8596,40060
"1093",2,7271,44144
"1094",2,6653,44273
"1095",2,8452,41468
"1096",2,6197,41829
"1097",2,9430,42043
"1098",2,7967,44306
"1099",2,7071,44033
"1100",2,5171,43612
"1101",2,8197,42702
"1102",2,8931,41677
"1103",2,6261,43729
"1104",2,7300,42393
"1105",2,5531,41719
"1106",2,9821,40629
"1107",2,6367,42527
"1108",2,9683,41309
"1109",2,9943,42281
"1110",2,5009,41379
"1111",2,6987,42863
"1112",2,5162,43438
"1113",2,6477,40372
"1114",2,6977,43986
